sno,route_id,stop_id,stop_name
47,6LG,48,Dairy Farm (O.U. Campus)
48,6LG,49,Tarnaka X Road
49,6LG,50,White House
50,6LG,51,Ram Theatre
51,6LG,52,Lalapet
52,6LG,53,R.P.F. Training Centre
53,6LG,54,Industrial Estate
54,6LG,55,Z.T.S. X Road
55,6LG,56,Carbide
56,6LG,57,HB Play Ground
57,6LG,58,Mangapuram / N.R.M. Degree College
58,6LG,59,Indira Nagar
59,6LG,60,Laxmi Nagar
60,6LG,61,Moulali Unani Dispensary
61,6LG,62,S.P. Nagar
62,6LG,63,Kushaiguda Depot
63,6LG,64,Kamla Nagar
64,6LG,65,ECIL X Road Bus Terminal
